area,name,price,unit_price,place
百荣嘉园,375万,43.16平米,"86,887元/平",dongcheng
当代MOMA,2050万,189.66平米,"108,089元/平",dongcheng
新景家园东区,885万,82.41平米,"107,390元/平",dongcheng
林调社区,1235万,85.42平米,"144,580元/平",dongcheng
前永康二巷,550万,42.71平米,"128,776元/平",dongcheng
安外大街3号院,585万,54.94平米,"106,480元/平",dongcheng
前门东大街,630万,55.75平米,"113,005元/平",dongcheng
前门东大街,590万,52.22平米,"112,984元/平",dongcheng
什锦花园胡同21号院,655万,49.04平米,"133,565元/平",dongcheng
禄米仓胡同,980万,88.31平米,"110,973元/平",dongcheng
幸福北里,635万,57.41平米,"110,608元/平",dongcheng
东交民巷21号院,620万,49.38平米,"125,557元/平",dongcheng
东直门北大街,765万,81.51平米,"93,854元/平",dongcheng
广渠家园,530万,51.04平米,"103,841元/平",dongcheng
东直门北大街,660万,60.11平米,"109,799元/平",dongcheng
法华南里,599万,57.25平米,"104,629元/平",dongcheng
海运仓小区,770万,74.68平米,"103,107元/平",dongcheng
和平里中街3号院,1088万,82.95平米,"131,164元/平",dongcheng
外交部街33号院,1300万,82.41平米,"157,748元/平",dongcheng
东中街,1168万,107.35平米,"108,803元/平",dongcheng
广渠门外南街,628万,68.11平米,"92,204元/平",dongcheng
广渠门内大街,731万,69.8平米,"104,728元/平",dongcheng
东四二条11号院,738万,56.97平米,"129,542元/平",dongcheng
春秀路,685万,60.63平米,"112,981元/平",dongcheng
国瑞城中区,938万,89.01平米,"105,382元/平",dongcheng
太华公寓,708万,104.38平米,"67,830元/平",dongcheng
金鱼池中区,749万,89.78平米,"83,427元/平",dongcheng
朝内大街203号院,660万,50.43平米,"130,875元/平",dongcheng
北竹杆胡同,780万,68.16平米,"114,437元/平",dongcheng
天天家园,940万,126.73平米,"74,174元/平",dongcheng
向新西里,528万,54.47平米,"96,935元/平",dongcheng
华龙美晟,666万,80.77平米,"82,457元/平",dongcheng
西营房,898万,81.74平米,"109,861元/平",dongcheng
朝内大街203号院,985万,75.42平米,"130,602元/平",dongcheng
台基厂头条2号院,1380万,101.24平米,"136,310元/平",dongcheng
东堂子胡同,360万,56.78平米,"63,403元/平",dongcheng
本家润园C区,765万,77.71平米,"98,443元/平",dongcheng
小黄庄一区,1030万,89.26平米,"115,394元/平",dongcheng
和平里三区,640万,46.13平米,"138,739元/平",dongcheng
东四西大街,668万,52.17平米,"128,043元/平",dongcheng
东四十条,750万,73.09平米,"102,614元/平",dongcheng
安德路47号院,820万,70.37平米,"116,527元/平",dongcheng
黄寺大街2号院,980万,94.69平米,"103,496元/平",dongcheng
琉璃井东街,485万,50.71平米,"95,642元/平",dongcheng
安定路,850万,72.64平米,"117,016元/平",dongcheng
新景家园西区,970万,91.32平米,"106,220元/平",dongcheng
交科院,970万,83.6平米,"116,029元/平",haidian
普惠北里,550万,63.8平米,"86,207元/平",haidian
翠微东里,730万,53.6平米,"136,195元/平",haidian
会城门小区,415万,41.5平米,"100,000元/平",haidian
缘溪堂,4200万,418.05平米,"100,467元/平",haidian
普惠北里,595万,60.9平米,"97,702元/平",haidian
铭科苑,680万,114.24平米,"59,524元/平",haidian
远大园六区,1620万,156.47平米,"103,535元/平",haidian
信悦华庭,1288万,147.87平米,"87,104元/平",haidian
诚品建筑,1500万,122.85平米,"122,101元/平",haidian
碧森里,406万,41.59平米,"97,620元/平",haidian
橙色年代,669万,94.22平米,"71,005元/平",haidian
学院南路60号院,628万,58.9平米,"106,622元/平",haidian
复兴路79号院,540万,66.4平米,"81,326元/平",haidian
普惠南里,603万,60.4平米,"99,835元/平",haidian
清缘里中区,599万,85.76平米,"69,847元/平",haidian
小营东路7号院,996万,125.91平米,"79,105元/平",haidian
玉泉路16号院,750万,81.9平米,"91,576元/平",haidian
华盛家园,1320万,135.71平米,"97,267元/平",haidian
铁东小区,510万,51.1平米,"99,805元/平",haidian
碧兴园,1150万,119.89平米,"95,922元/平",haidian
昌运宫,658万,72.6平米,"90,634元/平",haidian
恩济里小区,585万,63.4平米,"92,272元/平",haidian
百朗园,930万,155.93平米,"59,643元/平",haidian
万寿路12号院,690万,64.1平米,"107,645元/平",haidian
蓟门东里,613万,61.7平米,"99,352元/平",haidian
北洼西里,1130万,116.2平米,"97,247元/平",haidian
紫竹院98号院,750万,78.15平米,"95,970元/平",haidian
燕北园,588万,58.3平米,"100,858元/平",haidian
永泰东里,650万,80.56平米,"80,686元/平",haidian
紫金庄园,950万,92.8平米,"102,371元/平",haidian
人济山庄,1568万,161.54平米,"97,066元/平",haidian
青年公寓,410万,41.3平米,"99,274元/平",haidian
七贤村,470万,49.6平米,"94,759元/平",haidian
建设部大院,810万,62.4平米,"129,808元/平",haidian
豪柏国际公寓,800万,83.02平米,"96,363元/平",haidian
阜光里小区,800万,81.2平米,"98,523元/平",haidian
建材城东二里,451万,66.87平米,"67,445元/平",haidian
玉海园三里,638万,72.41平米,"88,110元/平",haidian
清缘里中区,380万,59.56平米,"63,802元/平",haidian
智学苑,745万,114.5平米,"65,066元/平",haidian
苏州街77号院,635万,57.8平米,"109,862元/平",haidian
北辰香麓,1360万,248.02平米,"54,835元/平",haidian
国悦府,3350万,396.45平米,"84,500元/平",haidian
